Country Name,Country Code,Indicator Name,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
India,IND,Real interest rate (%),FR.INR.RINR,4.337109732,5.864178113,7.792994301,6.909578991,5.12127633,9.191247325,8.34261083,8.591449296,7.90717719,7.30788116,4.910128304,6.2483375,4.477348229,5.707897396,4.277227228,5.773573851,-0.596843393,4.678690979,2.552100659,3.826764404,6.728371652,8.924940526,
Not classified,INX,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,Real interest rate (%),FR.INR.RINR,4.366067117,3.419748658,5.333216466,2.81559715,-0.088323363,-0.746297423,-1.277539984,-1.367198555,-1.373170797,-0.406516587,-0.044436368,0.286897709,,,,,,,,,,,
"Iran, Islamic Rep.",IRN,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,-3.23017567,-2.93774274,0.114354569,-7.448463617,-5.460729156,9.039135012,-2.063052997,-12.11012996,-8.868004025,-17.37428246,1.567959466,,
Iraq,IRQ,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,-2.945067549,-14.099985,-2.984361622,3.869774261,-8.204628493,43.6755196,-2.796979653,-8.888299591,10.09488708,13.05982525,,,
Iceland,ISL,Real interest rate (%),FR.INR.RINR,7.761235475,8.33588952,9.71848013,9.704149918,7.681086294,9.807555414,12.58869174,8.465384927,9.252211504,11.46277193,9.208030102,10.9011566,8.376847662,14.5254175,7.859507502,10.01947656,4.415101368,4.516467448,4.976840682,6.192223861,3.613044426,1.630329064,
Israel,ISR,Real interest rate (%),FR.INR.RINR,,-4.502008343,9.940248697,8.979314832,10.01822286,8.500868625,9.184170479,6.835756002,7.11799092,9.068726207,7.076079783,6.304841422,6.155576555,5.905479873,3.364662504,0.473990096,3.713302679,4.064874399,1.268851875,2.1007532,2.60178702,0.760677219,
Italy,ITA,Real interest rate (%),FR.INR.RINR,8.152557569,7.920644422,7.904502287,7.706970693,5.962459823,4.649498553,4.95993952,4.176905845,3.079027901,2.567352779,2.909019707,3.3622165,3.653549836,3.807401969,4.25126928,2.745100462,3.700397118,3.085469512,3.790038074,3.871812818,4.026626731,3.350057555,
Jamaica,JAM,Real interest rate (%),FR.INR.RINR,13.17239887,17.52061912,17.77308692,20.29211262,6.40833768,18.93049719,11.53102482,12.27840002,7.56722933,6.506164811,4.677504041,5.285866926,8.07942404,5.279057528,2.980992913,4.20126815,9.663889645,13.06460383,10.4138852,8.643204711,9.213200196,11.38184022,
Jordan,JOR,Real interest rate (%),FR.INR.RINR,3.338719707,8.622003782,8.998874556,10.88355062,6.215181443,12.7775034,12.26193071,10.07747382,9.17344712,7.002357067,5.016351006,5.471314905,-2.235261683,3.451608104,-9.043718829,6.251690871,0.5644968,2.161264311,4.095883171,3.229836561,5.361031115,6.057050327,
